Optimized Rust-Powered Profitability Sweep Started: 2025-10-10 15:04:20.491337
Parameters: 100,000 paths per scenario
Method: Integrated path generation (7-8x faster, no memory overhead)
================================================================================

[2025-10-10 15:04:20] Starting OPTIMIZED RUST profitability sweep with 100,000 Monte Carlo paths
[2025-10-10 15:04:20] Total combinations to test: 2,730
[2025-10-10 15:04:20] Using integrated path generation (7-8x faster!) 🚀
[2025-10-10 15:04:25] Progress: 10/2730 (0.4%) | Rate: 1.87 sims/sec | ETA: 24.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:41:34] Progress: 2420/2730 (88.6%) | Rate: 1.08 sims/sec | ETA: 4.8 min | Last: Principal+Interest HV=$9,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:41:47] Progress: 2430/2730 (89.0%) | Rate: 1.08 sims/sec | ETA: 4.6 min | Last: Principal+Interest HV=$9,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:41:52] Progress: 2440/2730 (89.4%) | Rate: 1.08 sims/sec | ETA: 4.5 min | Last: Principal+Interest HV=$9,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:42:01] Progress: 2450/2730 (89.7%) | Rate: 1.08 sims/sec | ETA: 4.3 min | Last: Principal+Interest HV=$9,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:42:14] Progress: 2460/2730 (90.1%) | Rate: 1.08 sims/sec | ETA: 4.2 min | Last: Principal+Interest HV=$9,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:42:21] Progress: 2470/2730 (90.5%) | Rate: 1.08 sims/sec | ETA: 4.0 min | Last: Principal+Interest HV=$9,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 1.21s)
[2025-10-10 15:42:30] Progress: 2480/2730 (90.8%) | Rate: 1.08 sims/sec | ETA: 3.8 min | Last: Principal+Interest HV=$9,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:42:43] Progress: 2490/2730 (91.2%) | Rate: 1.08 sims/sec | ETA: 3.7 min | Last: Principal+Interest HV=$9,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.85s)
[2025-10-10 15:42:49] Progress: 2500/2730 (91.6%) | Rate: 1.08 sims/sec | ETA: 3.5 min | Last: Principal+Interest HV=$9,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.58s)
[2025-10-10 15:42:58] Progress: 2510/2730 (91.9%) | Rate: 1.08 sims/sec | ETA: 3.4 min | Last: Principal+Interest HV=$9,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.08s)
[2025-10-10 15:43:11] Progress: 2520/2730 (92.3%) | Rate: 1.08 sims/sec | ETA: 3.2 min | Last: Principal+Interest HV=$9,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.58s)
[2025-10-10 15:43:17] Progress: 2530/2730 (92.7%) | Rate: 1.08 sims/sec | ETA: 3.1 min | Last: Principal+Interest HV=$9,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.54s)
[2025-10-10 15:43:25] Progress: 2540/2730 (93.0%) | Rate: 1.08 sims/sec | ETA: 2.9 min | Last: Principal+Interest HV=$9,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.06s)
[2025-10-10 15:43:39] Progress: 2550/2730 (93.4%) | Rate: 1.08 sims/sec | ETA: 2.8 min | Last: Principal+Interest HV=$9,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.61s)
[2025-10-10 15:43:44] Progress: 2560/2730 (93.8%) | Rate: 1.08 sims/sec | ETA: 2.6 min | Last: Principal+Interest HV=$9,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:43:53] Progress: 2570/2730 (94.1%) | Rate: 1.08 sims/sec | ETA: 2.5 min | Last: Principal+Interest HV=$9,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.07s)
[2025-10-10 15:44:06] Progress: 2580/2730 (94.5%) | Rate: 1.08 sims/sec | ETA: 2.3 min | Last: Principal+Interest HV=$9,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:44:11] Progress: 2590/2730 (94.9%) | Rate: 1.08 sims/sec | ETA: 2.2 min | Last: Principal+Interest HV=$9,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:44:20] Progress: 2600/2730 (95.2%) | Rate: 1.08 sims/sec | ETA: 2.0 min | Last: Principal+Interest HV=$9,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.08s)
[2025-10-10 15:44:32] Progress: 2610/2730 (95.6%) | Rate: 1.08 sims/sec | ETA: 1.8 min | Last: Principal+Interest HV=$9,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.59s)
[2025-10-10 15:44:38] Progress: 2620/2730 (96.0%) | Rate: 1.08 sims/sec | ETA: 1.7 min | Last: Principal+Interest HV=$9,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:44:46] Progress: 2630/2730 (96.3%) | Rate: 1.08 sims/sec | ETA: 1.5 min | Last: Principal+Interest HV=$9,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.05s)
[2025-10-10 15:44:59] Progress: 2640/2730 (96.7%) | Rate: 1.08 sims/sec | ETA: 1.4 min | Last: Principal+Interest HV=$9,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.60s)
[2025-10-10 15:45:04] Progress: 2650/2730 (97.1%) | Rate: 1.08 sims/sec | ETA: 1.2 min | Last: Principal+Interest HV=$9,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:45:13] Progress: 2660/2730 (97.4%) | Rate: 1.08 sims/sec | ETA: 1.1 min | Last: Principal+Interest HV=$9,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.07s)
[2025-10-10 15:45:25] Progress: 2670/2730 (97.8%) | Rate: 1.08 sims/sec | ETA: 0.9 min | Last: Principal+Interest HV=$9,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.53s)
[2025-10-10 15:45:31] Progress: 2680/2730 (98.2%) | Rate: 1.08 sims/sec | ETA: 0.8 min | Last: Principal+Interest HV=$9,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.52s)
[2025-10-10 15:45:39] Progress: 2690/2730 (98.5%) | Rate: 1.09 sims/sec | ETA: 0.6 min | Last: Principal+Interest HV=$9,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.03s)
[2025-10-10 15:45:51] Progress: 2700/2730 (98.9%) | Rate: 1.08 sims/sec | ETA: 0.5 min | Last: Principal+Interest HV=$9,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.56s)
[2025-10-10 15:45:57] Progress: 2710/2730 (99.3%) | Rate: 1.09 sims/sec | ETA: 0.3 min | Last: Principal+Interest HV=$10,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.52s)
[2025-10-10 15:46:05] Progress: 2720/2730 (99.6%) | Rate: 1.09 sims/sec | ETA: 0.2 min | Last: Principal+Interest HV=$10,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.04s)
[2025-10-10 15:46:17] Progress: 2730/2730 (100.0%) | Rate: 1.08 sims/sec | ETA: 0.0 min | Last: Principal+Interest HV=$10,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.54s)
[2025-10-10 15:46:17] Completed! Total time: 42.0 minutes (0.70 hours)
[2025-10-10 15:46:17] Results saved to: profitability_results_optimized_100k.csv
[2025-10-10 15:46:17] Average time per simulation: 0.92 seconds
[2025-10-10 15:46:17] 🚀 Optimized Rust acceleration successful!
